En general él va a decir la verdad., In general he is going to tell the truth.
Por primera vez él fue con botas amarillas., For the first time, he went with yellow boots.
De vez en cuando él iba al cine., He occasionally went to the movies.
Mañana ella irá a leer., Tomorrow she will go to read.
Ahora mismo usted iría a decir la verdad., Right now, you would go to tell the truth.
Él ha ido a leer., He has gone to read.
Hoy ellas van a decir la verdad., Today they will tell the truth.
Anoche ellas fueron a decir la verdad., Last night they were to tell the truth.
Generalmente él iba con botas amarillas., He usually went with yellow boots.
El lunes que vien ustedes irán con botas amarillas., On Monday that vien you will go with yellow boots.
Él iría a decir la verdad., He was going to tell the truth.
Ellas han ido con botas amarillas., They have gone with yellow boots.
Normalmente yo voy a leer., Normally I will read.
En ese momento yo fui allí., At the time I was there.
Siempre yo iba allí., I was always there.
Esta primavera yo iré allí., This spring I will go there.
Ahora mismo yo iría allí., Right now I would go there.
Yo he ido allí., I have gone there
Los viernes tú vas a decir la verdad., Friday you are going to tell the truth.
Ayer por la noche tú fuiste allí., Last night you were there.
Generalmente tú ibas a leer., Generally, you were going to read.
Mañana por la tarde tú irás a leer., Tomorrow afternoon you will go to read.
Tú irías a leer., You go to read.
Tú has ido al cine., You've gone to the movies.
En general nosotros vamos al cine., In general, we are going to the cinema.
Entonces nosotros fuimos con botas amarillas., Then we went with yellow boots.
Todos los días nosotros íbamos allí., Every day we were there.
Mañana por la mañana nosotros iremos con botas amarillas., Tomorrow morning we will go with yellow boots.
Ahora mismo nosotros iríamos allí., Right now we would be going there.
Nosotros hemos ido a decir la verdad., We have been telling the truth.
